#词语 词类标记 词类名称 出现次数 频率 累积频率
浮 v 动词 260 0.0027 80.5122
建筑物 n 名词 260 0.0027 80.5149
教员 n 名词 260 0.0027 80.5176
固有 v 动词 260 0.0027 80.5203
封闭 v 动词 260 0.0027 80.523
儿女 n 名词 260 0.0027 80.5284
便 a 形容词 260 0.0027 80.5257
变异 n 名词 260 0.0027 80.5608
自发 a 形容词 259 0.0027 80.5959
野 a 形容词 259 0.0027 80.5932
临 v 动词 259 0.0027 80.5905
有意 d 副词 259 0.0027 80.5878
肩膀 n 名词 259 0.0027 80.5635
证据 n 名词 259 0.0027 80.5851
东南 nd 方位名词 259 0.0027 80.5986
新兴 a 形容词 259 0.0027 80.5824
此后 c 连词 259 0.0027 80.5662
幢 q 量词 259 0.0027 80.5797
细致 a 形容词 259 0.0027 80.577
广播 v 动词 259 0.0027 80.5743
点点头 v 动词 259 0.0027 80.5716
破 v 动词 259 0.0027 80.5689
冷静 a 形容词 258 0.0027 80.6202
面孔 n 名词 258 0.0027 80.631
中毒 v 动词 258 0.0027 80.6283
伯伯 n 名词 258 0.0027 80.6256
复 v 动词 258 0.0027 80.604
奇 a 形容词 258 0.0027 80.6229
联合国 ni 机构名 258 0.0027 80.6337
大自然 n 名词 258 0.0027 80.6364
降 v 动词 258 0.0027 80.6013
厨房 n 名词 258 0.0027 80.6175
品德 n 名词 258 0.0027 80.6148
摩擦 v 动词 258 0.0027 80.6121
套 n 名词 258 0.0027 80.6094
矮 a 形容词 258 0.0027 80.6067
名叫 v 动词 257 0.0027 80.6688
泡 n 名词 257 0.0027 80.6661
排出 v 动词 257 0.0027 80.6634
摘 v 动词 257 0.0027 80.6607
环流 v 动词 257 0.0027 80.658
排 q 量词 257 0.0027 80.6553
容量 n 名词 257 0.0027 80.6391
思想上 nl 处所名词 257 0.0027 80.6526
实际上 d 副词 257 0.0027 80.6715
绳 n 名词 257 0.0027 80.6499
想不到 v 动词 257 0.0027 80.6472
命题 n 名词 257 0.0027 80.6445
机械化 v 动词 257 0.0027 80.6418
喜悦 a 形容词 256 0.0027 80.7066
张 v 动词 256 0.0027 80.6958
炮 n 名词 256 0.0027 80.7039
中期 nt 时间名词 256 0.0027 80.7093
营业 v 动词 256 0.0027 80.712
动人 a 形容词 256 0.0027 80.7147
委托 v 动词 256 0.0027 80.7174
登上 v 动词 256 0.0027 80.7012
党支部 n 名词 256 0.0027 80.6769
影 n 名词 256 0.0027 80.6931
以免 c 连词 256 0.0027 80.6904
五百 m 数词 256 0.0027 80.6877
阿 h 前接成分 256 0.0027 80.685
总 h 前接成分 256 0.0027 80.6742
番 q 量词 256 0.0027 80.6823
承包 v 动词 256 0.0027 80.6985
大臣 n 名词 256 0.0027 80.6796
迎 v 动词 255 0.0027 80.7606
早上 nt 时间名词 255 0.0027 80.7579
彩色 n 名词 255 0.0027 80.7552
光学 n 名词 255 0.0027 80.7525
嚷 v 动词 255 0.0027 80.7498
凉 a 形容词 255 0.0027 80.7471
酒精 n 名词 255 0.0027 80.7201
喷 v 动词 255 0.0027 80.7444
如果说 i 习用语 255 0.0027 80.7633
一齐 d 副词 255 0.0027 80.7228
调查研究 v 动词 255 0.0027 80.739
哼 e 叹词 255 0.0027 80.7363
怀里 nl 处所名词 255 0.0027 80.7336
肯 vu 能愿动词 255 0.0027 80.7309
化合 v 动词 255 0.0027 80.7282
树林 n 名词 255 0.0027 80.7255
精 a 形容词 255 0.0027 80.7417
死者 n 名词 254 0.0027 80.7984
摄 v 动词 254 0.0027 80.7957
杰出 a 形容词 254 0.0027 80.793
堆 n 名词 254 0.0027 80.7903
是以 c 连词 254 0.0027 80.7876
自行 d 副词 254 0.0027 80.7849
财务 n 名词 254 0.0027 80.8011
磁 n 名词 254 0.0027 80.766
岩 n 名词 254 0.0027 80.7822
大力 d 副词 254 0.0027 80.7687
图画 n 名词 254 0.0027 80.7768
顶 v 动词 254 0.0027 80.8038
衡量 v 动词 254 0.0027 80.7741
忽 d 副词 254 0.0027 80.7714
河南 ns 地名 254 0.0027 80.7795
草地 n 名词 253 0.0026 80.8376
位移 n 名词 253 0.0026 80.8298
和 v 动词 253 0.0026 80.8402
装饰 v 动词 253 0.0026 80.8428
中共中央 j 缩略语 253 0.0026 80.8454
在家 v 动词 253 0.0026 80.848
庞大 a 形容词 253 0.0026 80.8506
惊人 a 形容词 253 0.0026 80.8532
述 v 动词 253 0.0026 80.835
聚集 v 动词 253 0.0026 80.8194
丰收 v 动词 253 0.0026 80.8246
扣 v 动词 253 0.0026 80.809
高低 n 名词 253 0.0026 80.8324
窗 n 名词 253 0.0026 80.8116
零售 v 动词 253 0.0026 80.8142
扔 v 动词 253 0.0026 80.8168
止 v 动词 253 0.0026 80.8272
集 v 动词 253 0.0026 80.822
祭祀 v 动词 253 0.0026 80.8064
快速 a 形容词 252 0.0026 80.9078
废除 v 动词 252 0.0026 80.8896
计 v 动词 252 0.0026 80.887
一再 d 副词 252 0.0026 80.8922
叫 p 介词 252 0.0026 80.8948
狼 n 名词 252 0.0026 80.8974
款 n 名词 252 0.0026 80.9
新型 a 形容词 252 0.0026 80.9026
饮 v 动词 252 0.0026 80.9052
延安 ns 地名 252 0.0026 80.8558
纬度 n 名词 252 0.0026 80.9104
实体 n 名词 252 0.0026 80.913
这点 r 代词 252 0.0026 80.8818
连队 n 名词 252 0.0026 80.8688
杂 a 形容词 252 0.0026 80.861
桌 n 名词 252 0.0026 80.8636
咳嗽 v 动词 252 0.0026 80.8662
有时候 d 副词 252 0.0026 80.8584
一团 mq 数量 252 0.0026 80.8714
高 nhf 人名-姓 252 0.0026 80.874
沉 v 动词 252 0.0026 80.8766
各人 n 名词 252 0.0026 80.8844
本世纪 nt 时间名词 252 0.0026 80.8792
致使 v 动词 251 0.0026 80.9416
存款 n 名词 251 0.0026 80.9468
创办 v 动词 251 0.0026 80.939
耐心 a 形容词 251 0.0026 80.952
泪水 n 名词 251 0.0026 80.9546
写成 v 动词 251 0.0026 80.9572
九月 nt 时间名词 251 0.0026 80.9156
时而 d 副词 251 0.0026 80.9598
占用 v 动词 251 0.0026 80.9442
伙伴 n 名词 251 0.0026 80.9494
一眼 n 名词 251 0.0026 80.9182
法令 n 名词 251 0.0026 80.9364
冲动 a 形容词 251 0.0026 80.9338
限于 v 动词 251 0.0026 80.9312
可不 d 副词 251 0.0026 80.9286
直角 n 名词 251 0.0026 80.926
注射 v 动词 251 0.0026 80.9234
人民代表大会 n 名词 251 0.0026 80.9208
视觉 n 名词 250 0.0026 80.991
费 n 名词 250 0.0026 80.9884
分支 n 名词 250 0.0026 80.9624
军长 n 名词 250 0.0026 80.9858
几百 m 数词 250 0.0026 80.9962
穿上 v 动词 250 0.0026 80.9832
所 q 量词 250 0.0026 80.9806
万物 n 名词 250 0.0026 80.9936
照射 v 动词 250 0.0026 80.9728
无关 v 动词 250 0.0026 80.9754
运算 v 动词 250 0.0026 80.9702
美 n 名词 250 0.0026 80.9676
漫长 a 形容词 250 0.0026 80.965
光明 n 名词 250 0.0026 80.978
肌 n 名词 249 0.0026 81.0352
七月 nt 时间名词 249 0.0026 81.0326
突变 v 动词 249 0.0026 81.03
寒冷 a 形容词 249 0.0026 81.0274
幼儿 n 名词 249 0.0026 81.0248
跟前 nl 处所名词 249 0.0026 81.0222
长期 n 名词 249 0.0026 80.9988
胳膊 n 名词 249 0.0026 81.0196
旅 n 名词 249 0.0026 81.0378
相似 a 形容词 249 0.0026 81.017
体温 n 名词 249 0.0026 81.0144
小子 n 名词 249 0.0026 81.0118
平分 v 动词 249 0.0026 81.0092
放大 v 动词 249 0.0026 81.0066
实事求是 i 习用语 249 0.0026 81.004
只能 v 动词 249 0.0026 81.0014
发觉 v 动词 248 0.0026 81.0664
用途 n 名词 248 0.0026 81.0638
邻居 n 名词 248 0.0026 81.0612
凹 a 形容词 248 0.0026 81.0586
面向 v 动词 248 0.0026 81.0404
福利 n 名词 248 0.0026 81.056
村庄 n 名词 248 0.0026 81.069
图象 n 名词 248 0.0026 81.0534
旅游 v 动词 248 0.0026 81.0508
用以 v 动词 248 0.0026 81.0482
股票 n 名词 248 0.0026 81.0456
流水 n 名词 248 0.0026 81.043
迎接 v 动词 247 0.0026 81.0976
注意力 n 名词 247 0.0026 81.095
跨 v 动词 247 0.0026 81.0924
纺织 v 动词 247 0.0026 81.0898
上层 nl 处所名词 247 0.0026 81.0872
肩 n 名词 247 0.0026 81.0846
几何 n 名词 247 0.0026 81.0716
痰 n 名词 247 0.0026 81.082
强化 v 动词 247 0.0026 81.1002
写信 v 动词 247 0.0026 81.0794
深化 v 动词 247 0.0026 81.0768
前来 v 动词 247 0.0026 81.0742
初中 j 缩略语 246 0.0026 81.1392
孢子 n 名词 246 0.0026 81.1366
马克思列宁主义 n 名词 246 0.0026 81.134
吵 v 动词 246 0.0026 81.1314
吊 v 动词 246 0.0026 81.1288
经济学 n 名词 246 0.0026 81.1262
商 n 名词 246 0.0026 81.1236
拍 n 名词 246 0.0026 81.1444
墙壁 n 名词 246 0.0026 81.1054
正当 a 形容词 246 0.0026 81.121
取代 v 动词 246 0.0026 81.1184
干活 v 动词 246 0.0026 81.1158
活 a 形容词 246 0.0026 81.1132
加深 v 动词 246 0.0026 81.1028
阳 n 名词 246 0.0026 81.108
低温 n 名词 246 0.0026 81.1418
望远镜 n 名词 246 0.0026 81.1106
根源 n 名词 245 0.0026 81.1886
肥 a 形容词 245 0.0026 81.186
多样 a 形容词 245 0.0026 81.1834
对着 p 介词 245 0.0026 81.1808
导演 n 名词 245 0.0026 81.1782
千万 d 副词 245 0.0026 81.1756
固定 a 形容词 245 0.0026 81.173
记住 v 动词 245 0.0026 81.1704
分 n 名词 245 0.0026 81.1912
票 n 名词 245 0.0026 81.1652
京剧 n 名词 245 0.0026 81.1496
脉 n 名词 245 0.0026 81.1938
起伏 v 动词 245 0.0026 81.1522
绝大多数 n 名词 245 0.0026 81.1548
基本 d 副词 245 0.0026 81.1574
歌声 n 名词 245 0.0026 81.16
输 v 动词 245 0.0026 81.1678
扩散 v 动词 245 0.0026 81.1626
姐 n 名词 245 0.0026 81.147
称赞 v 动词 244 0.0026 81.2224
收获 v 动词 244 0.0026 81.2276
学问 n 名词 244 0.0026 81.2302
惊 v 动词 244 0.0026 81.2328
县城 n 名词 244 0.0026 81.2354
每月 nt 时间名词 244 0.0026 81.238
清 nt 时间名词 244 0.0026 81.2042
游戏 n 名词 244 0.0026 81.2406
再生产 v 动词 244 0.0026 81.2432
损伤 v 动词 244 0.0026 81.225
考验 v 动词 244 0.0026 81.1964
左右 nd 方位名词 244 0.0026 81.2016
袭击 v 动词 244 0.0026 81.2068
寻求 v 动词 244 0.0026 81.2094
抛弃 v 动词 244 0.0026 81.212
矿物 n 名词 244 0.0026 81.2146
谁知 v 动词 244 0.0026 81.2198
返回 v 动词 244 0.0026 81.2172
战后 nt 时间名词 244 0.0026 81.199
编辑 n 名词 243 0.0025 81.2782
挂在 v 动词 243 0.0025 81.2757
捧 v 动词 243 0.0025 81.2732
处处 nl 处所名词 243 0.0025 81.2707
镜头 n 名词 243 0.0025 81.2682
槽 n 名词 243 0.0025 81.2457
就是说 c 连词 243 0.0025 81.2657
手续 n 名词 243 0.0025 81.2807
车站 n 名词 243 0.0025 81.2482
打听 v 动词 243 0.0025 81.2632
接收 v 动词 243 0.0025 81.2607
现代 n 名词 243 0.0025 81.2582
中华民族 n 名词 243 0.0025 81.2557
伤害 v 动词 243 0.0025 81.2532
时常 d 副词 243 0.0025 81.2507
杀死 v 动词 242 0.0025 81.3007
表面上 nl 处所名词 242 0.0025 81.2982
秋天 nt 时间名词 242 0.0025 81.3132
师长 n 名词 242 0.0025 81.3107
世 nt 时间名词 242 0.0025 81.3082
形体 n 名词 242 0.0025 81.3032
水利 n 名词 242 0.0025 81.3157
尽快 d 副词 242 0.0025 81.2857
科长 n 名词 242 0.0025 81.2832
民主革命 n 名词 242 0.0025 81.3057
料 n 名词 242 0.0025 81.2957
鸭 n 名词 242 0.0025 81.2932
权威 n 名词 242 0.0025 81.2907
年底 nt 时间名词 242 0.0025 81.2882
古人 n 名词 241 0.0025 81.3457
经典 n 名词 241 0.0025 81.3407
净 a 形容词 241 0.0025 81.3507
染 v 动词 241 0.0025 81.3532
著 v 动词 241 0.0025 81.3557
宣言 n 名词 241 0.0025 81.3582
秘书 n 名词 241 0.0025 81.3607
思 v 动词 241 0.0025 81.3632
宋 nt 时间名词 241 0.0025 81.3332
出来 v 动词 241 0.0025 81.3482
饮食 n 名词 241 0.0025 81.3432
演化 v 动词 241 0.0025 81.3182
撒 v 动词 241 0.0025 81.3207
溶于 v 动词 241 0.0025 81.3232
添 v 动词 241 0.0025 81.3257
清朝 nt 时间名词 241 0.0025 81.3282
看过 v 动词 241 0.0025 81.3382
男 f 区别词 241 0.0025 81.3307
毛 nhf 人名-姓 241 0.0025 81.3357
观 n 名词 240 0.0025 81.3857
压缩 v 动词 240 0.0025 81.3932
产卵 v 动词 240 0.0025 81.3907
凝结 v 动词 240 0.0025 81.3882
实用 a 形容词 240 0.0025 81.3657
伏 v 动词 240 0.0025 81.3832
奇迹 n 名词 240 0.0025 81.3957
么 u 助词 240 0.0025 81.3807
平方米 q 量词 240 0.0025 81.3782
国内外 j 缩略语 240 0.0025 81.3757
通知 v 动词 240 0.0025 81.3732
掠夺 v 动词 240 0.0025 81.3707
可知 v 动词 240 0.0025 81.3682
奠定 v 动词 239 0.0025 81.4307
简 a 形容词 239 0.0025 81.4282
两端 nl 处所名词 239 0.0025 81.4257
金钱 n 名词 239 0.0025 81.4232
好看 a 形容词 239 0.0025 81.4207
整天 nt 时间名词 239 0.0025 81.4182
日常 a 形容词 239 0.0025 81.3982
依 v 动词 239 0.0025 81.4157
未必 d 副词 239 0.0025 81.4332
退休 v 动词 239 0.0025 81.4132
原是 vl 联系动词 239 0.0025 81.4107
必然性 n 名词 239 0.0025 81.4082
踩 v 动词 239 0.0025 81.4057
德 n 名词 239 0.0025 81.4032
出色 a 形容词 239 0.0025 81.4007
头部 n 名词 238 0.0025 81.4582
打仗 v 动词 238 0.0025 81.4557
逮捕 v 动词 238 0.0025 81.4532
例外 v 动词 238 0.0025 81.4507
泥土 n 名词 238 0.0025 81.4482
直至 v 动词 238 0.0025 81.4632
难过 a 形容词 238 0.0025 81.4357
格外 d 副词 238 0.0025 81.4457
策略 n 名词 238 0.0025 81.4382
肩上 nl 处所名词 238 0.0025 81.4432
充足 a 形容词 238 0.0025 81.4607
协会 n 名词 238 0.0025 81.4407
升 q 量词 237 0.0025 81.4957
老虎 n 名词 237 0.0025 81.4907
做得 v 动词 237 0.0025 81.5007
寄 v 动词 237 0.0025 81.5032
欺骗 v 动词 237 0.0025 81.5057
灵 a 形容词 237 0.0025 81.5082
放在 v 动词 237 0.0025 81.5107
住房 n 名词 237 0.0025 81.5132
水果 n 名词 237 0.0025 81.4982
幼 n 名词 237 0.0025 81.4832
考核 v 动词 237 0.0025 81.4682
开支 n 名词 237 0.0025 81.4932
媒介 n 名词 237 0.0025 81.4707
谱 n 名词 237 0.0025 81.4732
边界 n 名词 237 0.0025 81.4757
变量 n 名词 237 0.0025 81.4782
航行 v 动词 237 0.0025 81.4882
价值规律 n 名词 237 0.0025 81.4807
撞 v 动词 237 0.0025 81.4657
打死 v 动词 237 0.0025 81.4857
被告人 n 名词 236 0.0025 81.5332
起 p 介词 236 0.0025 81.5382
端 n 名词 236 0.0025 81.5407
理 v 动词 236 0.0025 81.5432
六月 nt 时间名词 236 0.0025 81.5457
由于 p 介词 236 0.0025 81.5482
流动资金 n 名词 236 0.0025 81.5507
府 n 名词 236 0.0025 81.5357
丰富 v 动词 236 0.0025 81.5307
矿产 n 名词 236 0.0025 81.5232
电磁 n 名词 236 0.0025 81.5257
对面 nd 方位名词 236 0.0025 81.5532
商品生产 v 动词 236 0.0025 81.5207
挑战 v 动词 236 0.0025 81.5182
而是 v 动词 236 0.0025 81.5157
天才 n 名词 236 0.0025 81.5282
住宅 n 名词 235 0.0025 81.5807
输送 v 动词 235 0.0025 81.5757
笑声 n 名词 235 0.0025 81.5832
治理 v 动词 235 0.0025 81.5857
王国 n 名词 235 0.0025 81.5882
祭 v 动词 235 0.0025 81.5907
座谈会 n 名词 235 0.0025 81.5557
子弹 n 名词 235 0.0025 81.5932
标志 v 动词 235 0.0025 81.5782
己 r 代词 235 0.0025 81.5582
公元前 nt 时间名词 235 0.0025 81.5732
苏 j 缩略语 235 0.0025 81.5707
仅有 v 动词 235 0.0025 81.5682
喘 v 动词 235 0.0025 81.5657
商品流通 v 动词 235 0.0025 81.5632
罪恶 n 名词 235 0.0025 81.5607
规格 n 名词 234 0.0024 81.6148
走来 v 动词 234 0.0024 81.6268
动词 n 名词 234 0.0024 81.6244
朱 nhf 人名-姓 234 0.0024 81.622
哇 o 拟声词 234 0.0024 81.6196
震动 v 动词 234 0.0024 81.598
聚 v 动词 234 0.0024 81.6172
忽略 v 动词 234 0.0024 81.6292
注 v 动词 234 0.0024 81.6316
用品 n 名词 234 0.0024 81.5956
街 n 名词 234 0.0024 81.61
注入 v 动词 234 0.0024 81.6076
爬上 v 动词 234 0.0024 81.6052
庄稼 n 名词 234 0.0024 81.6028
遗产 n 名词 234 0.0024 81.6004
提取 v 动词 234 0.0024 81.6124
奴隶制 n 名词 233 0.0024 81.6604
敢于 vu 能愿动词 233 0.0024 81.658
工业化 v 动词 233 0.0024 81.6556
时机 n 名词 233 0.0024 81.6532
抗战 n 名词 233 0.0024 81.6508
几千 m 数词 233 0.0024 81.634
赋予 v 动词 233 0.0024 81.6484
接待 v 动词 233 0.0024 81.6628
拉开 v 动词 233 0.0024 81.646
窗户 n 名词 233 0.0024 81.6436
摔 v 动词 233 0.0024 81.6412
党内 nl 处所名词 233 0.0024 81.6388
硫 n 名词 233 0.0024 81.6364
女的 n 名词 232 0.0024 81.6988
发病 v 动词 232 0.0024 81.6964
讲到 v 动词 232 0.0024 81.694
山脉 n 名词 232 0.0024 81.6916
蚕 n 名词 232 0.0024 81.6892
整整 d 副词 232 0.0024 81.6868
乳 n 名词 232 0.0024 81.6844
生意 n 名词 232 0.0024 81.7012
州 n 名词 232 0.0024 81.6748
依 p 介词 232 0.0024 81.682
刮 v 动词 232 0.0024 81.6652
表皮 n 名词 232 0.0024 81.6772
首长 n 名词 232 0.0024 81.7036
信念 n 名词 232 0.0024 81.6724
模拟 v 动词 232 0.0024 81.67
怪 v 动词 232 0.0024 81.6676
及时 d 副词 232 0.0024 81.6796
冰川 n 名词 231 0.0024 81.7276
升 v 动词 231 0.0024 81.7252
剪 v 动词 231 0.0024 81.7228
一辈子 nt 时间名词 231 0.0024 81.7204
渴望 v 动词 231 0.0024 81.718
拟 v 动词 231 0.0024 81.706
君 n 名词 231 0.0024 81.7156
幕 n 名词 231 0.0024 81.73
年 n 名词 231 0.0024 81.7132
亲属 n 名词 231 0.0024 81.7108
许可 v 动词 231 0.0024 81.7084
袋 n 名词 230 0.0024 81.766
爱好 n 名词 230 0.0024 81.7588
振荡 v 动词 230 0.0024 81.7684
地里 nl 处所名词 230 0.0024 81.7708
砍 v 动词 230 0.0024 81.7732
总的 n 名词 230 0.0024 81.7756
来不及 v 动词 230 0.0024 81.778
弟兄 n 名词 230 0.0024 81.7804
迁 v 动词 230 0.0024 81.7828
发达国家 n 名词 230 0.0024 81.7852
国防 n 名词 230 0.0024 81.7612
饭店 n 名词 230 0.0024 81.754
忍受 v 动词 230 0.0024 81.7348
轻松 a 形容词 230 0.0024 81.7492
严密 a 形容词 230 0.0024 81.7396
老年人 n 名词 230 0.0024 81.7636
阻止 v 动词 230 0.0024 81.742
多年来 nt 时间名词 230 0.0024 81.7444
靠 p 介词 230 0.0024 81.7564
常数 n 名词 230 0.0024 81.7468
看待 v 动词 230 0.0024 81.7324
写道 v 动词 230 0.0024 81.7516
星系 n 名词 230 0.0024 81.7372
员 k 后接成分 229 0.0024 81.8212
嗓子 n 名词 229 0.0024 81.8188
庙 n 名词 229 0.0024 81.8164
偶然 d 副词 229 0.0024 81.814
提炼 v 动词 229 0.0024 81.8116
方 d 副词 229 0.0024 81.8092
生产方式 n 名词 229 0.0024 81.7876
杀人 v 动词 229 0.0024 81.8236
战役 n 名词 229 0.0024 81.826
收回 v 动词 229 0.0024 81.8044
长短 n 名词 229 0.0024 81.802
婚 n 名词 229 0.0024 81.7996
感兴趣 v 动词 229 0.0024 81.7972
频繁 a 形容词 229 0.0024 81.7948
亏损 v 动词 229 0.0024 81.7924
流派 n 名词 229 0.0024 81.79
游泳 v 动词 229 0.0024 81.8068
扛 v 动词 228 0.0024 81.8716
集体农庄 n 名词 228 0.0024 81.85
舌头 n 名词 228 0.0024 81.8548
随即 d 副词 228 0.0024 81.8572
滑 a 形容词 228 0.0024 81.8596
窗口 n 名词 228 0.0024 81.862
暂时 d 副词 228 0.0024 81.874
兔 n 名词 228 0.0024 81.8644
习俗 n 名词 228 0.0024 81.8692
蜜蜂 n 名词 228 0.0024 81.8668
洪水 n 名词 228 0.0024 81.8452
选用 v 动词 228 0.0024 81.8284
热能 n 名词 228 0.0024 81.8524
封建主义 n 名词 228 0.0024 81.8308
教室 n 名词 228 0.0024 81.8332
上空 n 名词 228 0.0024 81.8356
两眼 n 名词 228 0.0024 81.838
往来 v 动词 228 0.0024 81.8404
堆积 v 动词 228 0.0024 81.8428
附 v 动词 228 0.0024 81.8476
改革 n 名词 227 0.0024 81.9124
砖 n 名词 227 0.0024 81.934
教练 n 名词 227 0.0024 81.9052
串 q 量词 227 0.0024 81.9148
租 v 动词 227 0.0024 81.9172
绿化 v 动词 227 0.0024 81.9196
互助 v 动词 227 0.0024 81.922
走近 v 动词 227 0.0024 81.9244
生产能力 n 名词 227 0.0024 81.9268
掀起 v 动词 227 0.0024 81.9292
装备 n 名词 227 0.0024 81.9316
创 v 动词 227 0.0024 81.91
操纵 v 动词 227 0.0024 81.898
所长 n 名词 227 0.0024 81.8788
丝毫 n 名词 227 0.0024 81.8812
随机 v 动词 227 0.0024 81.8836
耶稣 nh 人名 227 0.0024 81.886
喂 e 叹词 227 0.0024 81.8884
提醒 v 动词 227 0.0024 81.8908
伏 q 量词 227 0.0024 81.9028
百姓 n 名词 227 0.0024 81.8956
对照 v 动词 227 0.0024 81.8764
常有 v 动词 227 0.0024 81.9004
记 n 名词 227 0.0024 81.8932
伦理 n 名词 227 0.0024 81.9076
关节 n 名词 226 0.0024 81.9628
凸 a 形容词 226 0.0024 81.9556
盏 q 量词 226 0.0024 81.9652
身材 n 名词 226 0.0024 81.9676
藻类 n 名词 226 0.0024 81.97
壁画 n 名词 226 0.0024 81.9724
准 v 动词 226 0.0024 81.9748
主权 n 名词 226 0.0024 81.9772
组长 n 名词 226 0.0024 81.9604
传到 v 动词 226 0.0024 81.9364
关怀 v 动词 226 0.0024 81.9532
明年 nt 时间名词 226 0.0024 81.958
河北 ns 地名 226 0.0024 81.9508
春节 nt 时间名词 226 0.0024 81.9484
薄弱 a 形容词 226 0.0024 81.946
诉讼 n 名词 226 0.0024 81.9436
攻 v 动词 226 0.0024 81.9412
浪 n 名词 226 0.0024 81.9388
三千 m 数词 225 0.0024 82.042
巩固 a 形容词 225 0.0024 82.0228
迁移 v 动词 225 0.0024 82.0348
起作用 v 动词 225 0.0024 82.0252
海区 n 名词 225 0.0024 82.0156
巧 a 形容词 225 0.0024 82.0276
学员 n 名词 225 0.0024 82.03
随意 v 动词 225 0.0024 82.0396
外边 nd 方位名词 225 0.0024 82.0468
歌唱 v 动词 225 0.0024 82.0084
求证 v 动词 225 0.0024 82.0444
音节 n 名词 225 0.0024 82.0204
抓紧 v 动词 225 0.0024 82.0324
应付 v 动词 225 0.0024 82.0372
牵 v 动词 225 0.0024 82.018
特别 a 形容词 225 0.0024 82.0108
旅客 n 名词 225 0.0024 81.994
思潮 n 名词 225 0.0024 81.9844
钙 n 名词 225 0.0024 81.9868
内战 n 名词 225 0.0024 81.9892
抢救 v 动词 225 0.0024 81.9916
外国人 n 名词 225 0.0024 81.982
电力 n 名词 225 0.0024 81.9964
定期 v 动词 225 0.0024 81.9988
官吏 n 名词 225 0.0024 82.0012
热力学 n 名词 225 0.0024 82.0036
必定 d 副词 225 0.0024 82.0132
外来 v 动词 225 0.0024 82.006
惩罚 v 动词 225 0.0024 81.9796
规律性 n 名词 224 0.0023 82.0698
生物学 n 名词 224 0.0023 82.0859
近来 nt 时间名词 224 0.0023 82.0836
不由 d 副词 224 0.0023 82.0813
痕迹 n 名词 224 0.0023 82.079
一路 n 名词 224 0.0023 82.0767
清晨 nt 时间名词 224 0.0023 82.0744
喊道 v 动词 224 0.0023 82.0721
呆 v 动词 224 0.0023 82.0905
仍旧 d 副词 224 0.0023 82.0491
奔 v 动词 224 0.0023 82.0652
轻工业 n 名词 224 0.0023 82.0629
发布 v 动词 224 0.0023 82.0606
使劲 v 动词 224 0.0023 82.0583
木材 n 名词 224 0.0023 82.056
折射 v 动词 224 0.0023 82.0514
镜子 n 名词 224 0.0023 82.0675
惊奇 a 形容词 224 0.0023 82.0882
跳舞 v 动词 224 0.0023 82.0537
发掘 v 动词 223 0.0023 82.1227
细节 n 名词 223 0.0023 82.1204
半岛 n 名词 223 0.0023 82.1181
说起 v 动词 223 0.0023 82.1158
效力 n 名词 223 0.0023 82.1135
今晚 nt 时间名词 223 0.0023 82.1112
国家机关 n 名词 223 0.0023 82.125
码头 n 名词 223 0.0023 82.1066
剩余价值 n 名词 223 0.0023 82.0928
光荣 n 名词 223 0.0023 82.1273
解放后 nt 时间名词 223 0.0023 82.0951
风险 n 名词 223 0.0023 82.0974
音响 n 名词 223 0.0023 82.0997
胚 n 名词 223 0.0023 82.102
残 a 形容词 223 0.0023 82.1089
屁股 n 名词 223 0.0023 82.1043
伴随 v 动词 222 0.0023 82.1733
时候 nt 时间名词 222 0.0023 82.1756
一惊 v 动词 222 0.0023 82.1595
炎 n 名词 222 0.0023 82.1549
杭州 ns 地名 222 0.0023 82.1618
事迹 n 名词 222 0.0023 82.1641
相应 a 形容词 222 0.0023 82.1664
决定 n 名词 222 0.0023 82.1503
推开 v 动词 222 0.0023 82.171
前方 nd 方位名词 222 0.0023 82.1572
可不是 v 动词 222 0.0023 82.1687
不管 v 动词 222 0.0023 82.1296
体操 n 名词 222 0.0023 82.1319
神圣 a 形容词 222 0.0023 82.1342
标本 n 名词 222 0.0023 82.1365
防御 v 动词 222 0.0023 82.1388
侵入 v 动词 222 0.0023 82.1411
人为 a 形容词 222 0.0023 82.1434
次数 n 名词 222 0.0023 82.1457
根本上 nl 处所名词 222 0.0023 82.1526
贫困 a 形容词 222 0.0023 82.148
抒情 v 动词 221 0.0023 82.2078
意识形态 n 名词 221 0.0023 82.2055
夺 v 动词 221 0.0023 82.2032
变换 v 动词 221 0.0023 82.2009
轮船 n 名词 221 0.0023 82.1986
亲人 n 名词 221 0.0023 82.1963
要不 c 连词 221 0.0023 82.194
拜 v 动词 221 0.0023 82.2101
打断 v 动词 221 0.0023 82.1779
幅度 n 名词 221 0.0023 82.1802
养殖 v 动词 221 0.0023 82.2124
社会科学 n 名词 221 0.0023 82.1917
雨水 n 名词 221 0.0023 82.1894
扮演 v 动词 221 0.0023 82.1871
块 n 名词 221 0.0023 82.1848
与此同时 i 习用语 221 0.0023 82.1825
帮忙 v 动词 220 0.0023 82.2699
黑龙江 ns 地名 220 0.0023 82.2676
教堂 n 名词 220 0.0023 82.24
多种多样 i 习用语 220 0.0023 82.2446
步伐 n 名词 220 0.0023 82.2653
镁 n 名词 220 0.0023 82.2607
阻力 n 名词 220 0.0023 82.2584
无法 v 动词 220 0.0023 82.2561
发热 v 动词 220 0.0023 82.2538
二十三 m 数词 220 0.0023 82.2515
