#词语 词类标记 词类名称 出现次数 频率 累积频率
之 u 助词 13299 0.1392 28.8215
三 m 数词 13208 0.1382 28.9597
这个 r 代词 13201 0.1381 29.0978
小 a 形容词 12687 0.1328 29.2306
多 a 形容词 12028 0.1259 29.3565
后 nd 方位名词 12026 0.1258 29.4823
这样 r 代词 11980 0.1254 29.6077
会 vu 能愿动词 11782 0.1233 29.731
好 a 形容词 11743 0.1229 29.8539
社会 n 名词 11461 0.1199 29.9738
由 p 介词 11367 0.1189 30.0927
向 p 介词 11351 0.1188 30.2115
进行 v 动词 11085 0.116 30.3275
问题 n 名词 10899 0.1141 30.4416
下 nd 方位名词 10737 0.1124 30.554
呢 u 助词 10391 0.1087 30.6627
如 v 动词 10312 0.1079 30.7706
其 r 代词 10199 0.1067 30.8773
于 p 介词 10159 0.1063 30.9836
国家 n 名词 10138 0.1061 31.0897
这些 r 代词 9967 0.1043 31.194
工作 n 名词 9655 0.101 31.295
起来 vd 趋向动词 9588 0.1003 31.3953
生产 v 动词 9419 0.0986 31.4939
可 vu 能愿动词 9361 0.098 31.5919
并 c 连词 9259 0.0969 31.6888
就是 d 副词 9195 0.0962 31.785
新 a 形容词 9157 0.0958 31.8808
用 v 动词 9062 0.0948 31.9756
想 v 动词 9028 0.0945 32.0701
给 p 介词 8985 0.094 32.1641
不能 vu 能愿动词 8834 0.0924 32.2565
因为 c 连词 8817 0.0923 32.3488
生活 n 名词 8694 0.091 32.4398
经济 n 名词 8680 0.0908 32.5306
研究 v 动词 8627 0.0903 32.6209
更 d 副词 8602 0.09 32.7109
已 d 副词 8600 0.09 32.8009
几 m 数词 8593 0.0899 32.8908
用 p 介词 8389 0.0878 32.9786
却 d 副词 8253 0.0864 33.065
再 d 副词 8199 0.0858 33.1508
最 d 副词 7957 0.0833 33.2341
主要 a 形容词 7879 0.0824 33.3165
由于 c 连词 7840 0.082 33.3985
不同 a 形容词 7822 0.0819 33.4804
不是 vl 联系动词 7765 0.0813 33.5617
中国 ns 地名 7721 0.0808 33.6425
关系 n 名词 7715 0.0807 33.7232
人们 n 名词 7702 0.0806 33.8038
但是 c 连词 7673 0.0803 33.8841
才 d 副词 7634 0.0799 33.964
作用 n 名词 7548 0.079 34.043
则 c 连词 7536 0.0789 34.1219
现在 nt 时间名词 7527 0.0788 34.2007
所以 c 连词 7512 0.0786 34.2793
因此 c 连词 7394 0.0774 34.3567
如果 c 连词 7369 0.0771 34.4338
已经 d 副词 7358 0.077 34.5108
们 k 后接成分 7283 0.0762 34.587
重要 a 形容词 7135 0.0747 34.6617
各 r 代词 7117 0.0745 34.7362
我国 n 名词 6948 0.0727 34.8089
一些 m 数词 6930 0.0725 34.8814
情况 n 名词 6922 0.0724 34.9538
吧 u 助词 6874 0.0719 35.0257
二 m 数词 6835 0.0715 35.0972
知道 v 动词 6773 0.0709 35.1681
出 vd 趋向动词 6742 0.0706 35.2387
社会主义 n 名词 6711 0.0702 35.3089
做 v 动词 6708 0.0702 35.3791
必须 d 副词 6701 0.0701 35.4492
人民 n 名词 6669 0.0698 35.519
次 q 量词 6612 0.0692 35.5882
四 m 数词 6600 0.0691 35.6573
成 v 动词 6592 0.069 35.7263
走 v 动词 6589 0.069 35.7953
月 nt 时间名词 6530 0.0683 35.8636
方面 n 名词 6518 0.0682 35.9318
需要 v 动词 6511 0.0681 35.9999
吗 u 助词 6503 0.0681 36.068
时候 n 名词 6500 0.068 36.136
条件 n 名词 6426 0.0672 36.2032
思想 n 名词 6358 0.0665 36.2697
便 d 副词 6351 0.0665 36.3362
出来 vd 趋向动词 6335 0.0663 36.4025
发生 v 动词 6315 0.0661 36.4686
水 n 名词 6283 0.0657 36.5343
为了 p 介词 6279 0.0657 36.6
